;Max Proba;;;
intMC_MAPKAPK2;0.003;;;
intMC_IkB;0.002;;;
CD4Tcm_STAT3;0.002;;;
Tregmem_STAT3;0.002;;;
CD4Tem_CREB;0.002;;;
CD4Tnaive_IkB;0.002;;;
CD8Tcm_IkB;0.002;;;
pDC_NFkB;0.002;;;
CD8Tcm_NFkB;0.002;;;
NKT_MAPKAPK2;0.002;;;
CD56dimCD16pNKcells_CREB;0.001;;;
CD8Trm_NFkB;0.001;;;
CD4Tcm_CREB;0.0;;;
mDC_p38;0.0;;;
CD4Tem_MAPKAPK2;0.0;;;
mDC_NFkB;0.0;;;
CD4Tcm_MAPKAPK2;0.0;;;
mDC_MAPKAPK2;0.0;;;
Tregmem_IkB;0.0;;;
MDSC_MAPKAPK2;0.0;;;
Tregmem_MAPKAPK2;0.0;;;
CCR2pcMC_MAPKAPK2;0.0;;;
CD56brightCD16nNKcells_NFkB;0.0;;;
CCR2pcMC_NFkB;0.0;;;
CCR2pcMC_IkB;0.0;;;
CCR2pcMC_p38;0.0;;;
CCR2pcMC_CREB;0.0;;;
MDSC_NFkB;0.0;;;
Bcells_NFkB;0.0;;;
Bcells_IkB;0.0;;;
CD4Tnaive_MAPKAPK2;0.0;;;
intMC_p38;0.0;;;
intMC_CREB;0.0;;;
CD8Tem_IkB;0.0;;;
gdTcells_IkB;0.0;;;
gdTcells_CREB;0.0;;;
intMC_NFkB;0.0;;;
CD8Trm_IkB;0.0;;;
NKT_IkB;0.0;;;
CD8Tnaive_IkB;0.0;;;
CD8Tem_MAPKAPK2;0.0;;;
CD8Tem_CREB;0.0;;;
CD56dimCD16pNKcells_IkB;0.0;;;
CD8Tcm_MAPKAPK2;0.0;;;
MDSC_CREB;0.0;;;
mDC_CREB;0.0;;;
CD62LnAgedNeutrophils_MAPKAPK2;0.0;;;
CD62LnAgedNeutrophils_NFkB;0.0;;;
CD62LnAgedNeutrophils_p38;0.0;;;
CD56dimCD16pNKcells_NFkB;0.0;;;
MDSC_p38;0.0;;;
