,C'=' 0.010,C'=' 0.044,C'=' 0.078,C'=' 0.112,C'=' 0.147,C'=' 0.181,C'=' 0.215,C'=' 0.249,C'=' 0.283,C'=' 0.317,C'=' 0.351,C'=' 0.386,C'=' 0.420,C'=' 0.454,C'=' 0.488,C'=' 0.522,C'=' 0.556,C'=' 0.590,C'=' 0.624,C'=' 0.659,C'=' 0.693,C'=' 0.727,C'=' 0.761,C'=' 0.795,C'=' 0.829,C'=' 0.863,C'=' 0.898,C'=' 0.932,C'=' 0.966,C'=' 1.000
CD4negCD8negTcells_149Sm_CREB_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.026,0.053,0.079,0.104,0.124,0.147,0.172,0.196,0.217,0.229,0.243,0.254,0.261,0.27,0.275,0.276,0.285,0.292,0.293,0.296,0.299,0.299,0.3
CD4negCD8negTcells_149Sm_CREB_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.005,0.009,0.015,0.018,0.023,0.025,0.026,0.031,0.033,0.035,0.038,0.039,0.039,0.039,0.042,0.041,0.044,0.044,0.046,0.047
CD4negCD8negTcells_150Nd_STAT5_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.007,0.016,0.02,0.04,0.053,0.073,0.081,0.087,0.093,0.101,0.107,0.108,0.113,0.116,0.123,0.123,0.123,0.125,0.126
CD4negCD8negTcells_150Nd_STAT5_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CD4negCD8negTcells_150Nd_STAT5_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4negCD8negTcells_151Eu_p38_IFNa,0.0,0.0,0.0,0.0,0.0,0.001,0.029,0.06,0.102,0.127,0.156,0.198,0.236,0.274,0.299,0.325,0.348,0.361,0.374,0.389,0.4,0.413,0.422,0.427,0.435,0.442,0.445,0.45,0.46,0.463
CD4negCD8negTcells_151Eu_p38_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4negCD8negTcells_153Eu_STAT1_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.013,0.046,0.087,0.117,0.129,0.136,0.14,0.142,0.153,0.156,0.159,0.161,0.167,0.172,0.176,0.183,0.187,0.194,0.198,0.199,0.2,0.202,0.203
CD4negCD8negTcells_153Eu_STAT1_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4negCD8negTcells_153Eu_STAT1_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4negCD8negTcells_154Sm_STAT3_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.006,0.005,0.007,0.009,0.01,0.01,0.01,0.011,0.011,0.012,0.011,0.011,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.013,0.012,0.013
CD4negCD8negTcells_154Sm_STAT3_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.004,0.015,0.034,0.06,0.085,0.107,0.123,0.131,0.137,0.148,0.157,0.159,0.168,0.173,0.178,0.186,0.193,0.198,0.205,0.211,0.215
CD4negCD8negTcells_154Sm_STAT3_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4negCD8negTcells_155Gd_S6_IFNa,0.0,0.0,0.0,0.001,0.012,0.034,0.052,0.073,0.092,0.102,0.126,0.148,0.171,0.198,0.219,0.235,0.255,0.269,0.275,0.287,0.299,0.312,0.323,0.332,0.338,0.349,0.357,0.375,0.379,0.388
CD4negCD8negTcells_155Gd_S6_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.036,0.071,0.1,0.129,0.159,0.182,0.209,0.24,0.275,0.293,0.313,0.328,0.344,0.356,0.369,0.376,0.383,0.397,0.406,0.412,0.415,0.43,0.43
CD4negCD8negTcells_155Gd_S6_unstim,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.002,0.003,0.006,0.007,0.011,0.013,0.015,0.016,0.017,0.017,0.017,0.018,0.019,0.018,0.02,0.021,0.023,0.022,0.024,0.023,0.025,0.023,0.022
CD4negCD8negTcells_156Gd_IkB_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.009,0.019,0.032,0.048,0.068,0.093,0.104,0.124,0.133,0.138,0.142,0.15,0.158,0.16,0.165,0.167,0.171,0.175,0.177
CD4negCD8negTcells_156Gd_IkB_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.011,0.018,0.039,0.058,0.068,0.082,0.101,0.12,0.129,0.14,0.148,0.159,0.171,0.186,0.195,0.199,0.205,0.216,0.22,0.228,0.23,0.237
CD4negCD8negTcells_156Gd_IkB_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.009,0.011,0.018,0.024,0.032,0.041,0.046,0.051,0.054,0.059,0.063,0.068,0.075,0.076,0.076,0.075,0.078,0.078,0.077,0.077
CD4negCD8negTcells_159Tb_MAPKAPK2_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.006,0.017,0.027,0.039,0.057,0.067,0.075,0.092,0.106,0.12,0.124,0.129,0.139,0.149,0.157,0.164,0.168,0.175
CD4negCD8negTcells_159Tb_MAPKAPK2_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.013,0.038,0.08,0.122,0.168,0.213,0.246,0.262,0.286,0.307,0.318,0.33,0.341,0.353,0.366,0.376,0.384,0.389,0.397,0.404,0.409
CD4negCD8negTcells_159Tb_MAPKAPK2_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.068,0.164,0.261,0.325,0.378,0.41,0.429,0.446,0.462,0.481,0.49,0.501,0.512,0.525,0.534,0.543,0.555,0.569,0.571,0.575,0.58,0.583
CD4negCD8negTcells_166Er_NFkB_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.062,0.113,0.187,0.248,0.308,0.358,0.416,0.453,0.491,0.517,0.528,0.546,0.564,0.575,0.59,0.602,0.612,0.617,0.624,0.629,0.634
CD4negCD8negTcells_166Er_NFkB_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.05,0.074,0.091,0.115,0.139,0.158,0.173,0.184,0.193,0.203,0.219,0.23,0.244,0.26,0.266,0.274,0.276,0.284,0.29,0.297,0.301
CD4negCD8negTcells_166Er_NFkB_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.115,0.314,0.484,0.578,0.656,0.718,0.748,0.771,0.793,0.81,0.832,0.845,0.847,0.853,0.854,0.858,0.862,0.863,0.864,0.863,0.863,0.861,0.861
CD4negCD8negTcells_167Er_ERK_IFNa,0.0,0.0,0.0,0.0,0.001,0.003,0.006,0.013,0.042,0.121,0.232,0.302,0.371,0.41,0.457,0.499,0.541,0.587,0.605,0.624,0.647,0.667,0.684,0.69,0.698,0.706,0.713,0.72,0.73,0.737
CD4negCD8negTcells_167Er_ERK_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.007,0.014,0.028,0.049,0.066,0.102,0.119,0.143,0.157,0.166,0.178,0.189,0.203,0.214,0.222,0.233,0.246,0.253,0.256,0.261
CD4negCD8negTcells_167Er_ERK_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.01,0.016,0.025,0.044,0.057,0.078,0.094,0.115,0.132,0.146,0.154,0.168,0.178,0.191,0.205,0.221,0.229,0.235,0.243
CD4negCD8negTcells_168Er_STAT6_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.01,0.053,0.125,0.195,0.263,0.322,0.366,0.402,0.425,0.459,0.48,0.499,0.526,0.54,0.555,0.568,0.577,0.586,0.593,0.603,0.609,0.611,0.621
CD4negCD8negTcells_168Er_STAT6_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
CD4negCD8negTcells_168Er_STAT6_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.031,0.144,0.276,0.357,0.428,0.472,0.501,0.52,0.534,0.542,0.551,0.563,0.574,0.584,0.589,0.597,0.605,0.612,0.617,0.622,0.624,0.627,0.628
CD4Tcm_149Sm_CREB_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.038,0.082,0.129,0.164,0.187,0.2,0.211,0.225,0.239,0.25,0.263,0.271,0.272,0.284,0.293,0.298,0.301,0.302,0.307,0.313,0.32,0.325,0.33
CD4Tcm_149Sm_CREB_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.082,0.142,0.178,0.214,0.246,0.264,0.276,0.287,0.296,0.309,0.313,0.319,0.327,0.337,0.343,0.347,0.355,0.36,0.366,0.37,0.377,0.385,0.392
CD4Tcm_149Sm_CREB_unstim,0.0,0.0,0.0,0.0,0.145,0.251,0.253,0.306,0.38,0.429,0.451,0.461,0.46,0.448,0.444,0.441,0.433,0.422,0.422,0.417,0.415,0.415,0.411,0.403,0.404,0.404,0.403,0.401,0.402,0.404
CD4Tcm_150Nd_STAT5_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CD4Tcm_150Nd_STAT5_IL246,0.0,0.0,0.0,0.0,0.002,0.003,0.003,0.017,0.025,0.03,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032
CD4Tcm_150Nd_STAT5_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_151Eu_p38_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.035,0.083,0.14,0.173,0.202,0.235,0.263,0.289,0.305,0.322,0.336,0.348,0.367,0.378,0.384,0.391,0.4,0.413,0.417,0.418,0.42,0.427
CD4Tcm_151Eu_p38_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_153Eu_STAT1_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.003,0.006,0.009,0.01,0.011,0.012,0.014,0.015,0.014,0.015,0.015,0.015,0.019,0.017,0.016,0.015,0.015
CD4Tcm_153Eu_STAT1_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_154Sm_STAT3_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_154Sm_STAT3_IL246,0.0,0.0,0.0,0.0,0.012,0.093,0.122,0.124,0.144,0.153,0.162,0.166,0.171,0.176,0.183,0.187,0.187,0.192,0.198,0.199,0.201,0.203,0.204,0.205,0.208,0.21,0.211,0.216,0.217,0.219
CD4Tcm_154Sm_STAT3_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_155Gd_S6_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.005,0.007,0.008,0.008,0.009,0.011
CD4Tcm_155Gd_S6_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.003,0.007,0.009,0.013,0.013,0.017,0.019,0.019,0.019,0.019,0.019,0.021,0.021,0.021,0.021,0.021,0.023,0.024,0.024,0.024
CD4Tcm_155Gd_S6_unstim,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.004,0.004,0.004
CD4Tcm_156Gd_IkB_IFNa,0.0,0.0,0.0,0.002,0.005,0.007,0.007,0.008,0.009,0.009,0.011,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.011,0.012,0.012,0.012,0.012,0.012,0.012
CD4Tcm_156Gd_IkB_IL246,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.003,0.005,0.005,0.007,0.007,0.009,0.011,0.012,0.015,0.016,0.018,0.02,0.022,0.025,0.028,0.031,0.033,0.035,0.035,0.04,0.041,0.042,0.044
CD4Tcm_156Gd_IkB_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.007,0.009,0.009,0.01,0.01,0.01,0.01,0.01,0.012,0.012,0.012,0.013,0.014,0.014,0.014,0.014,0.014,0.015,0.015,0.015
CD4Tcm_159Tb_MAPKAPK2_IFNa,0.0,0.0,0.0,0.0,0.0,0.002,0.052,0.122,0.202,0.272,0.336,0.384,0.423,0.453,0.485,0.497,0.516,0.532,0.549,0.558,0.568,0.578,0.584,0.595,0.6,0.604,0.607,0.611,0.618,0.625
CD4Tcm_159Tb_MAPKAPK2_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.045,0.093,0.136,0.188,0.241,0.274,0.304,0.332,0.364,0.384,0.41,0.424,0.434,0.447,0.466,0.478,0.484,0.495,0.5,0.507,0.517,0.518,0.521
CD4Tcm_159Tb_MAPKAPK2_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.005,0.005,0.005,0.005,0.006
CD4Tcm_166Er_NFkB_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.009,0.024,0.05,0.077,0.105,0.141,0.184,0.228,0.259,0.297,0.323,0.346,0.367,0.377,0.385,0.398,0.413,0.419,0.427,0.43,0.438,0.448,0.453
CD4Tcm_166Er_NFkB_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.016,0.053,0.084,0.107,0.127,0.148,0.167,0.185,0.204,0.217,0.23,0.246,0.267,0.284,0.303,0.321,0.329,0.339,0.352,0.367,0.384,0.394,0.399
CD4Tcm_166Er_NFkB_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.004,0.004,0.005,0.006,0.006,0.009,0.013,0.013,0.013,0.014,0.015,0.016,0.016,0.017,0.017,0.018,0.018
CD4Tcm_167Er_ERK_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.008,0.016,0.026,0.031,0.036,0.038,0.039,0.041,0.046,0.055,0.064,0.07,0.074,0.076,0.079,0.081,0.088,0.089,0.095,0.096
CD4Tcm_167Er_ERK_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.002,0.003,0.005,0.006,0.006,0.006,0.009,0.012,0.017,0.021,0.022,0.027,0.035,0.04,0.046,0.049,0.052,0.053,0.053
CD4Tcm_167Er_ERK_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_168Er_STAT6_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.009,0.011,0.012,0.013,0.018,0.02,0.022,0.021,0.021,0.021,0.021,0.022,0.022,0.022,0.022,0.022,0.022
CD4Tcm_168Er_STAT6_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_168Er_STAT6_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.004,0.008,0.013,0.024,0.027,0.03,0.034,0.038,0.041,0.043,0.042,0.044,0.043,0.042,0.043,0.044,0.045,0.045,0.045,0.044,0.046,0.046
CD4Teff_149Sm_CREB_IFNa,0.0,0.0,0.01,0.119,0.19,0.375,0.419,0.488,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.499,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.502,0.502
CD4Teff_149Sm_CREB_IL246,0.0,0.0,0.0,0.005,0.047,0.066,0.079,0.103,0.124,0.148,0.164,0.18,0.193,0.199,0.21,0.215,0.226,0.231,0.245,0.258,0.267,0.276,0.287,0.298,0.305,0.312,0.318,0.325,0.331,0.342
